dataset,backbone,direction,n_calib,sample_seed,gap_cos_to_full,gap_angle_deg,r10,r100,delta_r100_vs_original_exact,delta_r100_vs_fullgap,gt_protocol
mscoco,clip-b32,image2text,50,3,0.9939722418785095,6.2941042512375,0.50006,0.693064,-0.306936,-0.0013779999999999903,original_exact_ip
mscoco,clip-b32,image2text,50,4,0.9930960536003113,6.736534134766939,0.50704,0.69778,-0.30222000000000004,0.003337999999999952,original_exact_ip
mscoco,clip-b32,image2text,100,0,0.9965773224830627,4.741814604159753,0.49888,0.692116,-0.30788400000000005,-0.0023260000000000502,original_exact_ip
mscoco,clip-b32,image2text,100,1,0.9965825080871582,4.738219096324713,0.5011,0.693438,-0.306562,-0.0010040000000000049,original_exact_ip
mscoco,clip-b32,image2text,100,2,0.9965729713439941,4.744829427124727,0.50426,0.696332,-0.30366800000000005,0.0018899999999999473,original_exact_ip
mscoco,clip-b32,image2text,100,3,0.9968030452728271,4.58270227027651,0.50176,0.694408,-0.305592,-3.399999999997849e-05,original_exact_ip
mscoco,clip-b32,image2text,100,4,0.9955729246139526,5.393323122484602,0.50462,0.69852,-0.30147999999999997,0.004078000000000026,original_exact_ip
mscoco,clip-b32,image2text,200,0,0.9983165860176086,3.325018292329855,0.49956,0.692914,-0.30708599999999997,-0.0015279999999999738,original_exact_ip
mscoco,clip-b32,image2text,200,1,0.9983097314834595,3.3317827334426884,0.5028,0.695128,-0.30487200000000003,0.0006859999999999644,original_exact_ip
mscoco,clip-b32,image2text,200,2,0.9985625147819519,3.0724962535746605,0.50486,0.696894,-0.303106,0.0024520000000000097,original_exact_ip
mscoco,clip-b32,image2text,200,3,0.9986165761947632,3.0141532736310865,0.5027,0.694868,-0.30513199999999996,0.00042600000000003746,original_exact_ip
mscoco,clip-b32,image2text,200,4,0.9978688359260559,3.741306022250101,0.50294,0.694398,-0.30560200000000004,-4.4000000000044004e-05,original_exact_ip
mscoco,clip-b32,image2text,400,0,0.999184787273407,2.3136763838608476,0.50286,0.695712,-0.304288,0.0012699999999999934,original_exact_ip
mscoco,clip-b32,image2text,400,1,0.9991164803504944,2.408672295407695,0.50286,0.695276,-0.304724,0.0008340000000000014,original_exact_ip
mscoco,clip-b32,image2text,400,2,0.9991524815559387,2.359081184937057,0.50164,0.693812,-0.306188,-0.0006300000000000194,original_exact_ip
mscoco,clip-b32,image2text,400,3,0.9993091225624084,2.1299192665168456,0.50092,0.694546,-0.305454,0.00010399999999999299,original_exact_ip
mscoco,clip-b32,image2text,400,4,0.9992990493774414,2.145392285598161,0.5002,0.694146,-0.30585399999999996,-0.00029599999999996296,original_exact_ip
audiocaps,imagebind,text2audio,25,0,0.9521948099136353,17.78773491863325,0.8166930917327293,0.8638640996602491,-0.13613590033975087,-0.024117780294450775,original_exact_ip
audiocaps,imagebind,text2audio,25,1,0.9774483442306519,12.191198829422387,0.8425141562853907,0.8878980747451869,-0.1121019252548131,-8.38052095130104e-05,original_exact_ip
audiocaps,imagebind,text2audio,25,2,0.9714140295982361,13.732642866474075,0.8421064552661381,0.8831392978482446,-0.11686070215175537,-0.004842582106455273,original_exact_ip
audiocaps,imagebind,text2audio,25,3,0.9520896077156067,17.807455306822764,0.8501245753114383,0.8956715741789354,-0.10432842582106461,0.007689694224235488,original_exact_ip
