backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,opq_vanilla,0.0,image->text,64,200,0.9949,0.8165,3926.7,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,64,500,0.9993,0.9712,942.85,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,64,1000,0.9993,0.9976,475.85,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,64,0,0.5256,0.6845,18826.61,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,64,100,0.9534,0.6845,6094.87,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,64,200,0.9824,0.8521,4918.12,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,64,500,0.9959,0.9541,1030.03,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,64,1000,0.9987,0.9871,644.25,64,5000,768,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,16,0,0.4178,0.5882,52678.88,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,16,100,0.9309,0.5882,8641.04,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,16,200,0.9609,0.7767,6095.79,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,16,500,0.9663,0.8801,1042.69,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,16,1000,0.9666,0.8889,470.25,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,0,0.5978,0.6957,55317.51,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,100,0.9704,0.6957,7940.83,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,200,0.9805,0.863,4438.81,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,500,0.9819,0.9195,950.86,64,5000,1024,42
