backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,100,0.921,0.6194,4537.34,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,200,0.9539,0.7792,3368.43,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,500,0.9727,0.8951,871.64,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,1000,0.9766,0.9314,524.53,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,0,0.6327,0.7479,13850.52,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,100,0.9794,0.7479,5702.3,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,200,0.9856,0.8979,4465.31,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,500,0.9867,0.9431,966.28,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,16,1000,0.9868,0.9468,517.29,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,0,0.5549,0.6693,3437.59,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,100,0.9637,0.6693,1968.47,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,200,0.986,0.8368,1864.36,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,500,0.9969,0.9429,767.18,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,64,1000,0.9992,0.9795,443.95,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,0,0.5073,0.6167,3406.78,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,100,0.9251,0.6167,2287.63,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,200,0.9618,0.7746,2238.48,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,500,0.9846,0.8931,776.13,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,1000,0.9937,0.947,432.37,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,0,0.6312,0.75,3335.85,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,100,0.9882,0.75,2320.63,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,200,0.9964,0.9138,2004.17,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,500,0.9994,0.9802,731.91,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,1000,0.9998,0.9948,452.09,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,16,0,0.57,0.7044,14038.27,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,16,100,0.9469,0.7044,5557.33,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,16,200,0.9585,0.8466,4215.03,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,16,500,0.967,0.8907,933.79,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,16,1000,0.976,0.9175,515.96,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,0,0.5415,0.6562,14031.29,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,100,0.923,0.6562,5153.42,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,200,0.9437,0.7946,4004.6,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,500,0.9565,0.8705,938.8,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,1000,0.9634,0.8938,542.88,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,16,0,0.6335,0.7479,14423.67,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,16,100,0.9667,0.7479,5854.26,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,16,200,0.9755,0.8766,4403.5,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,16,500,0.9816,0.9238,1002.07,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,16,1000,0.9848,0.9413,544.66,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,64,0,0.5689,0.6964,3401.55,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,64,100,0.9588,0.6964,2441.17,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,64,200,0.9717,0.8651,2204.41,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,64,500,0.9792,0.9342,880.66,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,64,1000,0.9837,0.9507,563.98,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,0,0.5421,0.6606,3537.58,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,100,0.9318,0.6606,2369.93,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,200,0.9561,0.8086,2178.22,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,500,0.9704,0.8994,899.88,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,1000,0.9768,0.9308,464.11,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,64,0,0.6331,0.7485,4120.27,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,64,100,0.9766,0.7485,2228.97,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,64,200,0.9867,0.898,2215.88,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,64,500,0.9928,0.9605,808.69,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,image->text,64,1000,0.9959,0.9806,477.21,136,5000,1024,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,16,0,0.4529,0.5601,19524.39,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,16,100,0.8666,0.5601,7438.61,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,16,200,0.9016,0.7103,5684.88,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,16,500,0.9044,0.7416,3829.15,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,16,1000,0.9044,0.7416,4005.39,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,16,0,0.4178,0.4836,18906.2,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,16,100,0.7867,0.4836,7770.62,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,16,200,0.863,0.6469,5923.58,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,16,500,0.8948,0.7528,1783.87,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,16,1000,0.8948,0.7528,1655.89,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,16,0,0.5597,0.6002,18547.61,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,16,100,0.8941,0.6002,7629.08,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,16,200,0.9089,0.7194,6285.04,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,16,500,0.9094,0.7348,3761.0,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,16,1000,0.9094,0.7348,3928.03,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,64,0,0.4316,0.5309,6229.15,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,64,100,0.8828,0.5309,3516.16,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,64,200,0.9513,0.74,3124.52,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,64,500,0.9938,0.9411,1122.79,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,text->image,64,1000,1.0,1.0,656.77,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,64,0,0.4197,0.4877,4777.43,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,64,100,0.8134,0.4877,3483.39,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,64,200,0.8928,0.6774,2868.77,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,64,500,0.9746,0.8943,1086.8,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,text->image,64,1000,1.0,1.0,665.93,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,64,0,0.5636,0.6446,4683.68,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,64,100,0.9589,0.6446,3188.59,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,64,200,0.9883,0.8529,3058.74,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,64,500,0.9998,0.9862,1148.0,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,text->image,64,1000,1.0,1.0,650.78,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,16,0,0.4163,0.4887,18115.35,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,16,100,0.7664,0.4887,7013.29,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,16,200,0.8429,0.6281,6025.86,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,16,500,0.8687,0.6978,4358.19,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,16,1000,0.8687,0.6978,4695.19,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,16,0,0.4141,0.4489,18596.49,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,16,100,0.7572,0.4489,7669.71,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,16,200,0.8009,0.5867,6126.79,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,16,500,0.8096,0.6403,2615.01,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,16,1000,0.8096,0.6403,2687.73,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,16,0,0.533,0.5579,19468.43,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,16,100,0.83,0.5579,8417.43,104,1000,768,42
