backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,71,100,0.7292,0.4655,9863.49,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,71,200,0.8447,0.6352,7796.24,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,71,500,0.9473,0.8314,1875.99,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,71,1000,0.9832,0.9346,978.26,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,0,0.3464,0.5071,24286.57,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,100,0.7885,0.5071,9731.5,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,200,0.8742,0.6532,7920.79,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,500,0.9453,0.8193,1925.1,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,1000,0.9667,0.9009,994.03,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,71,0,0.4444,0.6309,23402.94,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,71,100,0.9307,0.6309,9465.01,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,71,200,0.9657,0.8068,7840.89,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,71,500,0.9773,0.9088,1912.91,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,71,1000,0.9783,0.9226,986.09,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,71,0,0.2266,0.3869,5958.13,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,71,100,0.653,0.3869,4374.09,104,5000,768,42
