backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,0,0.3722,0.5692,43487.64,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,100,0.8512,0.5692,11822.04,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,200,0.9039,0.7362,9391.2,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,250,0.9127,0.7721,8351.72,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,300,0.9184,0.7952,7470.8,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,350,0.9222,0.8107,3296.07,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,400,0.9245,0.8211,2777.08,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,450,0.9261,0.8281,2772.03,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,500,0.9275,0.8328,2431.06,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,0,0.3689,0.5401,39380.47,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,100,0.8154,0.5401,11582.58,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,200,0.8808,0.6918,9202.57,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,250,0.8942,0.7285,8214.93,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,300,0.9032,0.7541,7527.13,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,350,0.9098,0.773,3320.29,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,400,0.9152,0.7874,2770.46,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,450,0.9188,0.7985,2777.14,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,500,0.9221,0.8074,2403.8,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,0,0.4796,0.6396,39291.53,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,100,0.8931,0.6396,11427.5,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,200,0.915,0.7704,9212.44,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,250,0.9171,0.7884,8039.36,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,300,0.9181,0.7978,7424.25,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,350,0.9187,0.803,3271.86,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,400,0.9192,0.8057,2784.4,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,450,0.9193,0.8072,2695.38,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,500,0.9194,0.8079,2421.55,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,0,0.3616,0.5457,20586.98,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,100,0.8508,0.5457,9405.08,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,200,0.9194,0.725,7638.19,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,250,0.9329,0.7707,6969.55,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,300,0.9418,0.8034,6421.66,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,350,0.9484,0.8276,3132.63,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,400,0.9527,0.8462,2652.19,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,450,0.9562,0.8609,2572.59,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,500,0.9589,0.8725,2335.53,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,0,0.3685,0.5344,19163.15,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,100,0.8174,0.5344,9327.23,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,200,0.8909,0.69,7686.95,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,250,0.9064,0.7312,6773.34,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,300,0.9189,0.7622,6390.64,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,350,0.9275,0.7861,3070.23,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,400,0.9338,0.8053,2583.31,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,450,0.9392,0.8214,2604.11,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,500,0.9439,0.8344,2319.88,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,0,0.4816,0.6514,20366.67,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,100,0.9222,0.6514,9103.53,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,200,0.9526,0.8116,7658.75,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,250,0.9571,0.8413,7041.06,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,300,0.9595,0.8599,6267.21,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,350,0.9611,0.8721,3074.17,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,400,0.9622,0.8803,2642.4,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,450,0.9629,0.8861,2642.78,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,500,0.9634,0.8903,2302.55,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,0,0.3471,0.4997,5856.58,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,100,0.8201,0.4997,4370.89,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,200,0.8959,0.661,3958.48,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,250,0.9135,0.7055,3810.13,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,300,0.9263,0.74,3560.99,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,350,0.9357,0.7676,2204.59,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,400,0.9437,0.7903,1944.49,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,450,0.95,0.8095,1945.61,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,500,0.9547,0.8257,1735.34,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,0,0.3656,0.5145,6077.86,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,100,0.8004,0.5145,4301.63,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,200,0.8732,0.6572,3851.52,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,250,0.8906,0.6955,3771.88,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,300,0.9031,0.7247,3647.88,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,350,0.9127,0.7479,2197.13,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,400,0.9203,0.7672,1951.82,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,450,0.927,0.7835,1952.4,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,500,0.9327,0.7979,1773.0,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,0,0.479,0.6432,6176.68,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,100,0.9314,0.6432,4328.15,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,200,0.9686,0.813,3874.48,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,250,0.9759,0.8506,3704.49,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,300,0.9805,0.8761,3558.23,104,5000,768,42
